instance_name,number_of_discretizations,simple_time,one_thread_time,improvement_factor
p1.2.k,4.00,929.27,148.72,84.00
p1.3.l,6.00,1001.04,240.96,75.93
p1.3.m,4.00,1697.28,351.32,79.30
p1.3.o,6.00,3600.00,735.40,--
p1.3.p,4.00,1319.35,259.99,80.29
p1.3.r,4.00,3600.00,1172.85,--
p1.4.q,4.00,522.16,221.19,57.64
p1.4.q,6.00,3600.00,2380.20,--
p1.4.r,6.00,3600.00,2008.24,--
p1.4.r,4.00,888.03,311.21,64.96
p3.2.g,4.00,1338.35,221.66,83.44
p3.2.h,4.00,3600.00,890.68,--
p3.2.i,4.00,3600.00,880.77,--
p3.2.k,4.00,3600.00,2052.83,--
p3.2.k,2.00,1381.71,436.38,68.42
p3.2.l,2.00,722.93,134.39,81.41
p3.2.m,2.00,430.63,98.53,77.12
p3.3.j,6.00,3600.00,1989.85,--
p3.3.k,4.00,2536.50,534.09,78.94
p3.3.m,4.00,3600.00,1449.36,--
p3.3.n,4.00,3600.00,3307.19,--
p3.3.q,2.00,940.86,281.10,70.12
p3.3.r,2.00,3600.00,1550.54,--
p3.4.k,6.00,192.12,119.13,37.99
p3.4.n,4.00,602.93,258.90,57.06
p3.4.n,6.00,3600.00,2059.78,--
p3.4.p,4.00,3008.53,443.51,85.26
p3.4.q,4.00,2885.06,780.06,72.96
p3.4.s,4.00,3600.00,811.73,--
