instance_name,num_targets,num_discretizations,one_thread_time,concurrent_time,max_concurrent_solves,improvement_factor
p1.2.i,32,4,6.63,5.26,2,20.58
p1.2.k,32,4,11.55,8.35,2,27.71
p1.2.m,32,6,468.36,265.87,3,43.23
p1.2.n,32,6,529.92,489.63,2,7.60
p1.2.p,32,6,2514.11,1983.06,2,21.12
p1.2.p,32,2,12.40,9.26,2,25.33
p1.2.q,32,2,11.08,9.24,2,16.63
p1.3.l,32,4,5.51,2.81,4,49.01
p1.3.l,32,6,11.05,4.14,2,62.48
p1.3.m,32,4,28.89,11.31,6,60.84
p1.3.o,32,6,15.53,12.11,2,22.02
p1.3.p,32,4,18.03,10.40,3,42.34
p1.3.q,32,6,377.75,168.11,4,55.50
p1.3.r,32,4,65.63,29.65,4,54.83
p1.4.q,32,6,61.80,23.34,7,62.23
p1.4.q,32,4,14.39,6.66,4,53.70
p1.4.r,32,4,29.01,15.01,4,48.27
p1.4.r,32,6,39.26,23.37,4,40.47
p3.2.g,33,6,277.87,222.61,2,19.89
p3.2.g,33,4,34.31,24.97,2,27.22
p3.2.h,33,4,108.13,48.72,5,54.94
p3.2.h,33,6,209.57,95.44,4,54.46
p3.2.i,33,4,135.38,105.15,2,22.33
p3.2.i,33,6,413.06,317.50,2,23.13
p3.2.i,33,2,5.15,3.67,4,28.66
p3.2.j,33,4,1697.00,642.51,8,62.14
p3.2.j,33,6,1449.51,1150.59,3,20.62
p3.2.k,33,2,107.00,38.44,8,64.07
p3.2.k,33,4,293.20,267.78,2,8.67
p3.2.l,33,2,44.93,22.57,3,49.76
p3.2.l,33,4,2554.32,1418.50,5,44.47
p3.2.m,33,2,31.19,28.60,2,8.29
p3.2.r,33,2,2989.88,2527.55,2,15.46
p3.3.j,33,6,100.84,54.57,3,45.88
p3.3.k,33,4,63.89,20.95,8,67.21
p3.3.l,33,6,266.21,193.54,3,27.30
p3.3.l,33,2,8.87,1.78,5,79.91
p3.3.m,33,4,172.70,79.81,4,53.78
p3.3.m,33,6,184.60,154.73,2,16.18
p3.3.n,33,4,458.83,211.93,8,53.81
p3.3.n,33,2,6.57,4.47,3,31.94
p3.3.o,33,2,5.94,3.95,2,33.43
p3.3.o,33,4,1071.98,268.56,8,74.95
p3.3.o,33,6,1809.52,840.92,5,53.53
p3.3.p,33,6,2721.07,1408.70,4,48.23
p3.3.q,33,2,68.97,30.17,4,56.26
p3.3.r,33,2,495.61,191.60,8,61.34
p3.3.s,33,2,1510.53,238.13,8,84.24
p3.3.s,33,4,3017.14,2079.71,4,31.07
p3.3.t,33,2,2059.64,454.72,8,77.92
p3.3.t,33,4,2089.67,1639.46,2,21.54
p3.4.m,33,4,7.82,4.86,3,37.80
p3.4.n,33,6,100.65,61.58,3,38.82
p3.4.n,33,4,34.74,15.33,7,55.86
p3.4.o,33,4,7.29,5.38,2,26.18
p3.4.p,33,4,59.91,33.15,4,44.67
p3.4.q,33,6,158.26,104.67,2,33.87
p3.4.q,33,4,68.54,45.24,3,34.00
p3.4.r,33,6,635.72,358.29,3,43.64
p3.4.r,33,4,1187.40,353.35,8,70.24
p3.4.s,33,4,85.52,59.53,3,30.40
p3.4.t,33,2,16.27,7.70,5,52.65
p3.4.t,33,6,1977.74,1261.02,3,36.24
p5.2.q,66,4,1656.54,954.03,3,42.41
p5.3.p,66,2,80.32,21.27,8,73.52
p5.3.v,66,2,762.87,201.33,8,73.61
p5.4.z,66,2,306.81,115.83,5,62.24
p6.3.i,64,6,84.77,43.52,4,48.66
p6.3.j,64,6,1333.49,442.52,7,66.81
p6.3.k,64,6,967.75,573.46,2,40.74
p6.3.l,64,6,1797.94,746.36,4,58.49
p6.4.m,64,6,1135.99,463.02,7,59.24
p6.4.n,64,6,1614.84,605.08,6,62.53
