instance_path,instance_name,number_of_discretizations
./data/Set_32_234/,p1.2.i.txt,6
./data/Set_32_234/,p1.2.j.txt,6
./data/Set_32_234/,p1.2.k.txt,4
./data/Set_32_234/,p1.2.k.txt,6
./data/Set_32_234/,p1.2.l.txt,4
./data/Set_32_234/,p1.2.l.txt,6
./data/Set_32_234/,p1.2.m.txt,4
./data/Set_32_234/,p1.2.n.txt,4
./data/Set_32_234/,p1.2.o.txt,4
./data/Set_32_234/,p1.2.p.txt,4
./data/Set_32_234/,p1.2.q.txt,4
./data/Set_32_234/,p1.3.l.txt,6
./data/Set_32_234/,p1.3.m.txt,4
./data/Set_32_234/,p1.3.m.txt,6
./data/Set_32_234/,p1.3.n.txt,6
./data/Set_32_234/,p1.3.o.txt,6
./data/Set_32_234/,p1.3.p.txt,4
./data/Set_32_234/,p1.3.p.txt,6
./data/Set_32_234/,p1.3.r.txt,4
./data/Set_32_234/,p1.3.r.txt,6
./data/Set_32_234/,p1.4.q.txt,4
./data/Set_32_234/,p1.4.q.txt,6
./data/Set_32_234/,p1.4.r.txt,4
./data/Set_32_234/,p1.4.r.txt,6
./data/Set_33_234/,p3.2.f.txt,6
./data/Set_33_234/,p3.2.g.txt,4
./data/Set_33_234/,p3.2.h.txt,4
./data/Set_33_234/,p3.2.i.txt,4
./data/Set_33_234/,p3.2.k.txt,2
./data/Set_33_234/,p3.2.k.txt,4
./data/Set_33_234/,p3.2.l.txt,2
./data/Set_33_234/,p3.2.m.txt,2
./data/Set_33_234/,p3.2.o.txt,2
./data/Set_33_234/,p3.2.p.txt,2
./data/Set_33_234/,p3.2.q.txt,2
./data/Set_33_234/,p3.3.j.txt,6
./data/Set_33_234/,p3.3.k.txt,4
./data/Set_33_234/,p3.3.k.txt,6
./data/Set_33_234/,p3.3.l.txt,6
./data/Set_33_234/,p3.3.m.txt,4
./data/Set_33_234/,p3.3.m.txt,6
./data/Set_33_234/,p3.3.n.txt,4
./data/Set_33_234/,p3.3.o.txt,4
./data/Set_33_234/,p3.3.q.txt,2
./data/Set_33_234/,p3.3.r.txt,2
./data/Set_33_234/,p3.3.s.txt,2
./data/Set_33_234/,p3.3.t.txt,2
./data/Set_33_234/,p3.4.k.txt,6
./data/Set_33_234/,p3.4.n.txt,4
./data/Set_33_234/,p3.4.n.txt,6
./data/Set_33_234/,p3.4.o.txt,6
./data/Set_33_234/,p3.4.p.txt,4
./data/Set_33_234/,p3.4.p.txt,6
./data/Set_33_234/,p3.4.q.txt,4
./data/Set_33_234/,p3.4.q.txt,6
./data/Set_33_234/,p3.4.r.txt,4
./data/Set_33_234/,p3.4.s.txt,4
./data/Set_33_234/,p3.4.s.txt,6
./data/Set_33_234/,p3.4.t.txt,4
